,Best Seller Ranking,Brand,Series,Model,Color,Operating System,CPU,Screen,Memory,Storage,Graphics Card,Video Memory,Dimensions (W x D x H),Weight,CPU Type,CPU Speed,Turbo Frequency,Number of Cores,CPU L3 Cache,Screen Size,Touchscreen,Wide Screen Support,Display Type,Resolution,Panel,LCD Features,GPU/VPU,Graphic Type,SSD,Memory Spec,Memory Slot (Total),Memory Slot (Available),Optical Drive Type,WLAN,WiFi Generation,Bluetooth,USB,HDMI,Keyboard,Backlit Keyboard,Webcam,Card Reader,Style,Type,Usage,Battery,Battery Life,Package Content,Date First Available,Price,Part Number,HDD,Memory Speed,Other Features,Core Name,Storage Spec,Max Memory Supported,Optical Drive Spec,Thunderbolt,Audio Ports,Touchpad,AC Adapter,Consumer Alert,Color Gamut,Audio,Memory Type,LAN,Ethernet,Speaker,Bezel Design,Chipset,Software Included,HDD RPM,HDD Interface,CPU Support,Video Port,Package Type,Other port,CPU L2 Cache,Refresh Rate,Virtual Reality Ready,Pointing Stick,Thunderbolt 3,Optical Drive,Tech,Smart Cache,Communication,Optical Drive Interface,Card slot
"HP Pavilion 15t-eg000 Home & Business Laptop (Intel i7-1165G7 4-Core, 15.6"" 60Hz Full HD (1920x1080), Intel Iris Xe, 32GB RAM, 1TB PCIe SSD, Backlit KB, Wifi, USB 3.2, HDMI, Webcam, Win 10 Pro)",,HP,Pavilion 15t-eg000,,Silver,Windows 10 Pro,,,32GB,,,,,,Intel Core i7 11th Gen,2.80GHz,4.7 GHz,,12MB Cache,"15.6""",No,,,1920 x 1080,,,Intel Iris Xe Graphics,Integrated Card,1 TB,,,,No,Wi-Fi 6 AX201,,Bluetooth 5.0,,1 x HDMI,,Backlit,Yes,Yes,Standard,Work / Business,,,,,"October 28, 2021","2    1,049.00
Name: 184, dtype: object",,No,DDR4,,,1TB PCIe SSD,,,,1 x Headphone/Microphone Combo Jack,,,,,,SO-DIMM,,,,,,,,,,,,,,,,No,,,,,,,
"Lenovo ThinkPad X1 Titanium Yoga Laptop, 13.5"" IPS Touch  450 nits, i5-1130G7,   Iris Xe Graphics, 16GB, 512GB SSD, Win 10 Pro",,Lenovo,,20QA000EUS,Smoky Titanium,Windows 10,,,16GB,,,,,2.50 lbs,Intel Core i5,1.80GHz,,Quad-core Processor,,"13.5""",Yes,,QHD,2256 x 1504,,,,Integrated Card,512 GB,,,,,,,Bluetooth 5.0,,,,No,,,,Home / Personal,,4-cell Lithium Ion,,,"March 17, 2021","2    2,021.40
Name: 186, dtype: object",20QA000EUS,No,DDR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS ROG Strix G17 17.3"" FHD 1080p 144Hz Gaming Laptop (AMD 8-Core Ryzen 7 4800H (Beat i7-10750H), 64GB RAM, 2TB PCIe SSD, RTX 3060) RGB Backlit, Type-C, WiFi 6, Windows 10",,,,,Gray,Windows 10 Home,,,64GB,,,,,,AMD Ryzen 7 4000 Series,2.90GHz,,8-core Processor,,"17.3""",No,,,1920 x 1080,,,NVIDIA GeForce RTX 3060 Laptop GPU,Dedicated Card,2 TB PCIe,,,0,No,802.11ax  Wireless LAN,,Bluetooth 5.1,,,,,,,,Gaming,,4-cell Lithium Ion,,,"November 23, 2021","2    1,879.99
Name: 187, dtype: object",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Celeron Processor N4020, 16GB DDR4 RAM, 512GB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Win10 Home, Black",,,Inspiron,,Black,Windows 10 Home,,,16GB,,,,,,Intel Celeron,1.10GHz,,,,"15.6""",No,,HD,1366 x 768,,,,,512 GB PCIe,,,,,,,,,,,,,,,,,,,,"September 06, 2021","2    556.00
Name: 188, dtype: object",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Laptop Modern 14 B11SB-290 Intel Core i7 11th Gen 1165G7 (2.80GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce MX450 14.0"" Windows 10 Home 64-bit",,MSI,,Modern 14 B11SB-290,Beige Mousse,Windows 10 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"14"" IPS",16GB,512 GB NVMe SSD,NVIDIA GeForce MX450,2GB,"12.56"" x 8.67"" x 0.67""",2.87 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"14.0""",No,Yes,Full HD,1920 x 1080,IPS,THIN BEZEL IPS-Level 60 Hz 72% NTSC,NVIDIA GeForce MX450,Dedicated Card,512 GB NVMe,16 GB x 1,1,0,No,Intel 9560 Jefferson Peak (2x2 802.11ac),Wi-Fi 5,Bluetooth 5.0,2 x USB 3.2 Gen 2,1 x HDMI (4K @ 30Hz),White backlight 84 Key,Backlit,720p HD Webcam,SD (XC/HC),Thin and Light,Work / Business,Consumer,3 cell (52Whr) Li-Polymer,Up to 16 Hours,,"January 06, 2021","2    949.00
Name: 189, dtype: object",,,DDR4 3200,,Tiger Lake,,32 GB,,1 x Thunderbolt 4,Mic-in/Headphone-out Combo,Multi Touch,90-watt AC Adapter,,72% NTSC,,,Ethernet Dongle,,Speakers 2W x 2,Thin,,,,,,,,,,,,,,,,,,,
"HP 16-a0032dx Pavillion 16.1"" Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1660 Ti - 512GB SSD + 32GB Optane - Shadow Black Notebook PC Computer",,HP,Pavilion,2020 Pavilion,Black,Windows 10,Core i5-10300H,"16.1""",8GB,512GB SSD + 32GB Optane,NVidia GTX 1660 Ti,6GB,,,Intel Core i5 10th Gen,2.50GHz,,Quad-core Processor,,"16.1""",No,,Full HD,1920 x 1080,,In-plane Switching (IPS) Technology,NVIDIA GeForce GTX 1660 Ti,Dedicated Card,512 GB,,,,No,802.11ac  Wireless LAN,,Bluetooth 5.0,,,,Backlit,Yes,,Standard,Gaming,Consumer,,,,"August 10, 2021","2    899.99
Name: 190, dtype: object",16-a0032dx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,
"HP Laptop Pavilion 15-eh0076nr AMD Ryzen 5 4000 Series 4500U (2.30GHz) 8GB Memory 256 GB PCIe SSD AMD Radeon Graphics 15.6"" Windows 10 Home 64-bit",#99 in Laptops / Notebooks,HP,Pavilion,15-eh0076nr,Natural silver aluminum with a sandblasted finish,Windows 10 Home 64-bit,AMD Ryzen 5 4500U 2.30 GHz,"15.6"" IPS",8GB,256 GB PCIe NVMe M.2 SSD,AMD Radeon Graphics,Shared system memory,"14.18"" x 9.21"" x 0.70""",3.86 lbs.,AMD Ryzen 5 4000 Series,4500U (2.30GHz),,6-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",AMD Radeon Graphics,Integrated Card,256 GB PCIe,4 GB x 2,,,No,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),Wi-Fi 5,Bluetooth 5.0,"1 x SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge)2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 2.0,"Full-size, natural silver keyboard with numeric keypad",,HP Wide Vision 720p HD camera with integrated dual array digital microphones,Multi-format SD media card reader,Thin and Light,Home / Personal,Consumer,"3-cell, 41 Wh Li-ion battery",,,"December 29, 2021","2    642.99
Name: 191, dtype: object",201W5UA#ABA,No,DDR4 3200,,,,,,,1 x Headphone/Microphone Combo Jack,HP Imagepad with multi-touch gesture support,45-watt AC Adapter,,45% NTSC,Audio by B&O with dual speakers,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15.6"" Full HD IPS LED Notebook,11th Gen Intel Core i5-1135G7 Quad-Core Processor,16GB DDR4 RAM,512GB SSD,Intel Iris Xe Graphics,Wifi-AC,Bluetooth,USB,HDMI, Windows 11 Pro",#51 in Laptops / Notebooks,HP,HP15HD,15-DY2093,Silver,Windows 11 Pro,"11th Generation Intel Core i5-1135G7 Quad core processor at 2.40 GHz base frequency, up to 4.20 GHz with Intel Turbo Boost Technology","15.6"" Full HD LED IPS (1920 x 1080)",16GB,512GB SSD,Intel Iris Xe Graphics,,14.11 x 9.53 x .71,4,Intel Core i5 11th Gen,1135G7 (2.40GHz),4.20 GHz with Intel Turbo Boost Technology,Quad-core Processor,8MB,"15.6""",No,Yes,"15.6"" Full HD LED IPS (1920 x 1080)",1920 x 1080,,"15.6"" Full HD LED IPS (1920 x 1080)",Intel Iris Xe Graphics,Integrated,512 GB,16 GB DDR4,,,No,Wifi802.11-AC,,Yes,"2 x USB 3.0, 1 x USB Type-C 3.0",1 x HDMI,Full size keyboard with numeric keypad,No,HD Webcam with integrated dual digital microphone,1 x SD media card reader,Standard,Mainstream,Business,3-cell Li-ion,> 5 hours,"Laptop, Power adapter, Power Cord","March 03, 2022","2    642.00
Name: 192, dtype: object",,No,DDR4,Fingerprint reader,,512GB Solid State Drive,32GB,,,1 x Headphone/Microphone Combo Jack,Yes,45W AC adapter,,,HD Audio,,No,,Integrated Stereo Speakers,,,,,,,HDMI,Retail,,,,,,,,64-bit,,,,
"Lenovo Laptop IdeaPad 5 15ARE05 81YQ0009US AMD Ryzen 7 4000 Series 4700U (2.00 GHz) 8 GB Memory 512 GB PCIe SSD AMD Radeon Graphics 15.6"" Windows 10 Home 64-bit",,Lenovo,IdeaPad 5 15ARE05,81YQ0009US,Platinum Grey,Windows 10 Home 64-bit,AMD Ryzen 7 4700U 2.00 GHz,"15.6""",8GB,512 GB M.2 2242 PCIe NVMe 3.0x2 SSD,AMD Radeon Graphics,Shared system memory,"14.04"" x 9.18"" x 0.70""",3.66 lbs.,AMD Ryzen 7 4000 Series,4700U (2.00GHz),Up to 4.10 GHz,8-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,TN,"TN 250 nits Anti-glare, 45% NTSC",AMD Radeon Graphics,Integrated Card,512 GB PCIe,8 GB onboard,,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.1,2 x USB 3.2 Gen 1 (one Always on)1 x USB 3.2 Type-C Gen 1 (with the function of Power Delivery and DisplayPort),1 x HDMI 1.4b,,Backlit,720p,"4-in-1 media reader (MMC, SD, SDHC, SDXC)",Thin and Light,Home / Personal,Consumer,Integrated 57Wh,MobileMark 2014: 14 hr (57Wh),,"February 23, 2021","2    529.99
Name: 193, dtype: object",,,DDR4 3200,Touch Style Fingerprint Reader,,512 GB M.2 2242 PCIe NVMe 3.0x2 SSD,,,,1 x Headphone/Microphone Combo Jack,,65W Round Tip,,45% NTSC,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook F Series Laptop, 14"" FHD Display, Intel Core i5-1135G7 Upto 4.2GHz, 16GB RAM, 512GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",,ASUS,VivoBook,F Series,Dark Gray,Windows 10 Pro,Intel Core i5-1135G7,"14"" FHD Display",16GB,512 GB,Intel Iris Xe Graphics,,"8.5"" x 12.81"" x 0.78""",3 - 3.9 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),4.2GHz,Quad-core Processor,,"14.0""",No,Yes,Full HD,1920 x 1080,,,Intel Iris Xe Graphics,Integrated Card,512 GB,8 GB x 2,1,0,,Wi-Fi 5 (802.11ac),,Bluetooth 4.2,"1x USB 3.2 Gen 1, 2x USB 2.0, 1x USB-C 3.1 Gen 1",1 x HDMI,Backlit Keyboard,Backlit,Yes,Micro SD,,Mainstream,,3-cell Lithium Ion,> 5 hours,,"January 25, 2022","2    699.99
Name: 194, dtype: object",,No,DDR4 2400,,,512GB NVMe SSD,24 GB,,,1 x Headphone/Microphone Combo Jack,Yes,45-watt AC Adapter,,,Integrated Sound card,1 x SO-DIMM,10/100/1000Mbps,,Integrated Stereo Speakers,,,,,,8MB SmartCache,1x HDMI,Retail,,,,,,,,,,,,
"New Dell Inspiron Laptop 15.6"" Full HD Touch Screen Intel core i5-1135G7 32GB DDR4 RAM 1TB NVMe SSD Windows 11 Home Black",,,,,Black,Windows 11 Home,,,32GB,,,,,,Intel Core i5 11th Gen,,,,,"15.6""",Yes,,,,,,Intel UHD Graphics,,1 TB,,,,,,,,,,,,,,,Work / Business,,,,,"December 31, 2021","2    889.00
Name: 195, dtype: object",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[Windows 11 Home] Newest HP Pavilion Laptop, 15.6"" Full HD, AMD Ryzen 7 5700U, 32GB RAM, 1TB SSD, B&O Audio, Fingerprint Reader, Backlit Keyboard, Wi-Fi 6, Bluetooth, HDMI, USB Type-C, Silver",,,,,Silver,Windows 11 Home,,,32GB,,,,,,AMD Ryzen 7 5000 Series,1.80GHz,,,,"15.6""",No,,,,,,AMD Radeon Graphics,,1 TB,,,,,,,,,,,,,,,Everyday Value,,,,,"December 01, 2021","2    999.00
Name: 196, dtype: object",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Stream 14"" Touchscreen Laptop AMD 3020e 4GB RAM 64GB eMMc Jet Black",,HP,,14-fq0050nr,Black,Windows 10 in S mode,AMD 3000 3020e,"14""",4GB,64 GB,,,12.76 x 8.86 x .71,3.24 lb,,,2.60 GHz,Dual-core (2 Core),,"14.0""",Yes,,HD,1366 x 768,,BrightView,AMD Radeon Graphics,Integrated Card,,,,,,802.11a/b/g/n/ac,,Yes,3,1 x HDMI 1.4b,Standard,,720p HD,,,,,,,,"September 10, 2020","2    299.99
Name: 197, dtype: object",1F6E9UA#ABA,,,,,,,,,1 x Headphone/Microphone Combo Jack,Multi-touch Gesture support,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Vostro 5410 14"" Full HD 1920 x 1080 Laptop,11th Gen Intel Core i7-11370H Processor,16GB DDR4,512GB SSD,Intel Iris Xe Graphics,Wifi-AX,Bluetooth 5,HDMI,Windows 10 Pro",,DELL,Vostro,5410,Gray,Windows 10 Pro,11th Generation Intel Core i7-11370H Processor at 3.30GHz Up to 4.80GHz,"14.0""",16GB,512GB SSD,Intel Iris Xe Graphics,,12.65 x 8.38 x .71,3.2,Intel Core i7 11th Gen,11370H (3.30GHz),4.80 GHz,4-Core Processor,12MB,"14.0""",No,Yes,14 inch FHD (1920 x 1080) Wide View Angle Anti-Glare LED Backlit Non-Touch Narrow Border Display,1920 x 1080,LED-Backlit,"14"" inch FHD (1920 x 1080) Wide View Angle Anti-Glare LED Backlit Non-Touch Narrow Border Display",Intel Iris Xe Graphics,Integrated,512 GB,16GB DDR4,,,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5,"2 x USB 3.2, 1 x USB Type-C 3.2",1 x HDMI,Standard size Backlit Keyboard,Backlit,Yes,SD Card Reader,Standard,Work / Business,Business,"4-Cell, 54 WHr Lithium Ion Battery",Up to 8 Hours,"Laptop, Power Adapter, Power Cord","February 02, 2022","2    949.00
Name: 198, dtype: object",,No,DDR4,Fingerprint reader,,512GB SSD,32GB,No,,1 x Headphone/Microphone Combo Jack,Yes,65-watt AC Adapter,,,Waves MaxxAudio Pro,,10/100/1000Mbps,1 x RJ-45,Internal Speakers,Thin,,,,,,1 x HDMI,Commercial,,,,,,,No,64-bit,12MB,,,
"ASUS E510MA Laptop, 15.6"" HD Display, Intel Celeron N4020 Upto 2.8GHz, 4GB RAM, 256GB NVMe SSD, HDMI, Wi-Fi, Bluetooth, Windows 10 Home (E510MA-RS06)",,ASUS,,E510MA,Black,Windows 10 Home,Intel Celeron N4020,"15.6"" HD Display",4GB,256 GB,Intel UHD Graphics 600,,"9.31"" x 14.18"" x 0.71""",3 - 3.9 lbs.,Intel Celeron,N4020 (1.10GHz),2.8GHz,Dual-core Processor,4MB,"15.6""",No,Yes,HD,1366 x 768,,,Intel UHD Graphics 600,Integrated Card,256 GB,4 GB x 1,0,0,,Wi-Fi 5 (802.11ac),,Bluetooth 4.1,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1",1 x HDMI,Non-Backlit Keyboard,,Yes,,,Mainstream,,3-cell Lithium Ion,> 5 hours,,"October 14, 2021","2    399.99
Name: 199, dtype: object",E510MA-RS06,No,DDR4 2400,,,256GB NVMe SSD,4 GB,,,1 x Headphone/Microphone Combo Jack,Yes,33-watt AC Adapter,,,Integrated Sound card,On-board memory,,,Integrated Stereo Speakers,,,,,,,1x HDMI,Retail,,,,,,,,,,,,
"HP 15s Laptop, 15.6"" HD Display, AMD 3020e Upto 2.6GHz, 8GB RAM, 256GB NVMe SSD, Vega 3, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",,HP,,15s,Black,Windows 10 Pro,AMD 3000 Series 3020e,"15.6"" HD Display",8GB,256 GB,AMD Radeon Vega 3,,"9.52"" x 14.11"" x 0.7""",3 - 3.9 lbs.,AMD 3000 Series,3020e (1.20GHz),2.6GHz,Dual-core Processor,4MB,"15.6""",No,Yes,HD,1366 x 768,,,AMD Radeon Vega 3,Integrated Card,256 GB,8 GB x 1,1,0,,Wi-Fi 5 (802.11ac),,Bluetooth 4.2,"1x USB-C 3.1 Gen 1, 2x USB 3.1 Gen 1",1 x HDMI,Standard,Non-backlit,Yes,3-in-1,,Everyday Value,,3-cell Lithium Ion,> 5 hours,,"September 30, 2021","2    469.99
Name: 200, dtype: object",,No,DDR4 2400,,,256GB NVMe SSD,8 GB,,,1 x Headphone/Microphone Combo Jack,Yes,45-watt AC Adapter,,,Integrated Sound card,1 x SO-DIMM,,,Integrated Stereo Speakers,,,,,,,1x HDMI,Retail,,,,,,,,,,,,
"Lenovo IdeaPad Flex 5 AMD Laptop, 14.0"" FHD IPS Touch  250 nits, Ryzen 7 5700U,  AMD Radeon Graphics, 8GB, 256GB SSD, Win 11 Home",,Lenovo,,82HU00JUUS,Gray,,,,8GB,,,,,3.30 lbs,AMD Ryzen 7,5700U (1.80GHz),,8-core Processor,,"14.0""",Yes,,Full HD,1920 x 1080,,,,Integrated Card,256 GB,,,,,,,Bluetooth 5.0,,,,No,,,,Everyday Value,,3-cell Lithium Ion,,,"March 25, 2022","2    619.99
Name: 201, dtype: object",82HU00JUUS,No,DDR4 3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Vostro 7510 15.6"" Full HD Laptop,11th Gen Intel Core i5-11400H 6-Core Processor,16GB DDR4,512GB SSD,4GB NVIDIA GeForce RTX 3050,Wifi-AX,Bluetooth,HDMI,Windows 10 Pro",,DELL,Vostro,7510,Black,Windows 10 Pro,11th Generation Intel Core i5-11400H 6-Core Processor at 2.70GHz Up to 4.50GHz,"15.6""",16GB,512 GB,NVIDIA GeForce RTX 3050 4GB GDDR6,4GB,14.02 x 9.23 x .69,3.9,Intel Core i5 11th Gen,11400H (2.70GHz),4.50GHz,6-core Processor,12MB,"15.6""",No,Yes,Full HD,1920 x 1080,Wide View Angle Anti-Glare 300-nits LED-Backlit Non-Touch Narrow Border Display,Wide View Angle Anti-Glare 300-nits LED-Backlit Non-Touch Narrow Border Display,NVIDIA GeForce RTX 3050 Laptop GPU,Integrated Card,512 GB,16GB DDR4,2,,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.1,"2 x USB 3.2, 1 x USB Type-C 3.2",1 x HDMI,US English Backlit Carbon Full-Size Keyboard with 10-key Numeric Keypad,Backlit,Yes,SD Media Card Reader,Standard,Workstation,Business,"3-Cell, 56 WHr Lithium Ion Battery",Up to 8 Hours,"Laptop, Power Adapter, Power Cord","February 03, 2022","2    999.00
Name: 202, dtype: object",,No,DDR4,Fingerprint reader,,512GB SSD,32GB,No,,1 x Headphone/Microphone Combo Jack,Yes,130-watt AC Adapter,,300-nits,DELL,,No,No,Internal Speakers,Narrow Border,,,,,,1 x HDMI,Commercial,,,,,,,No,64-bit,12MB,,,
KUU-A8S 15.6inch Silver Laptop Intel Celeron Processor J3455 Up to 2.3GHz 6GB DDR3 RAM 128GB SSD Windows 10 Office Work Notebook Computer,,KUU,U Series,U2,Aluminum Silver,Windows 10 Pro,Intel Celeron Processor J3455,"15.6""",6GB,128 GB SSD,Intel HD Graphics 500,Shared system memory,"14.76"" x 9.65"" x 0.87""",3.88 lbs.,Intel Celeron,1.50GHz,Up to 2.30 GHz,Quad-core Processor,,"15.6""",No,,Full HD,1920 x 1080,,,Intel HD Graphics 500,Integrated Card,128 GB,,,,No,"802.11a/ac/b/g/n, IEEE 802.11ac",Wi-Fi 5,Bluetooth 4.0,2 x USB 3.0,1 x HDMI,,Non-backlit,Yes,Micro SD up to 128 GB,Standard,Everyday Value,Consumer,Lithium Polymer,More than 8 hours,"1 x 15.6 inch Laptop (KUU-U2), 1 x Power Adapter (US Plug), 1 x User Manual","November 26, 2020","2    309.00
Name: 203, dtype: object",,No,DDR3 1600,,Apollo Lake,,,,,,,,,72% NTSC,,,10/100Mbps,,Internal Speakers,Thin,,,,,,,,"1 x Micro SD, 1 x RJ45, 1 x Earphone",,,,,,,64-bit,,LAN and WLAN,,
"Lenovo IdeaPad 3i Laptop, 17.3"" HD+ Display, Intel Core i3-1115G4 Upto 4.1GHz, 12GB RAM, 256GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 11 Home",,Lenovo,IdeaPad,3i,Dark Gray,Windows 11 Home,Intel Core i3-1115G4,"17.3"" HD+ Display",12GB,256 GB,Intel UHD Graphics,,"10.79"" x 15.71"" x 0.78""",4 - 4.9 lbs.,Intel Core i3 11th Gen,1115G4 (3.00GHz),4.1GHz,Dual-core Processor,,"17.3""",No,Yes,HD+,1600 x 900,,,Intel UHD Graphics,Integrated Card,256 GB,8 GB x 1 + 4 GB x 1,1,0,,Wi-Fi 5 (802.11ac),,Bluetooth 5.0,"1x USB-C 3.2 Gen 1, 1x USB 3.2 Gen 1, 1x USB 2.0",1 x HDMI,Standard,Non-backlit,Yes,4-in-1,,Mainstream,,3-cell Lithium Ion,> 5 hours,,"January 20, 2022","2    549.99
Name: 204, dtype: object",,No,DDR4 2400,,,256GB NVMe SSD,20 GB,,,1 x Headphone/Microphone Combo Jack,Yes,65-watt AC Adapter,,,Integrated Sound card,1 x SO-DIMM,,,Integrated Stereo Speakers,,,,,,6MB SmartCache,1x HDMI,Retail,,,,,,,,,,,,
"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6"" FHD Display, Intel Core i5-1135G7 Processor, 8 GB DDR4 RAM, 512 GB PCIe SSD, Wi-Fi 6, Windows 10 Home, Resolute Red, S533EA-DH51-RD",,ASUS,VivoBook S15,S533EA-DH51-RD,Resolute Red,Windows 10 Home 64-bit,Intel Core i5-1135G7 2.40 GHz,"15.6""",8GB,512 GB PCIe SSD,Intel Iris Xe Graphics,Shared system memory,"14.17"" x 9.20"" x 0.63""",3.97 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),Up to 4.20 GHz,Quad-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,,Matte,Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,8 GB onboard,,,No,Wi-Fi 6 (Gig+) (802.11ax),Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,2 x USB 2.0 Type-A1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C,1 x HDMI,Backlit Chiclet Keyboard with Num-key,Backlit,"720p HD camera, Without privacy shutter",,Thin and Light,Home / Personal,Consumer,"50WHrs, 3S1P, 3-cell Li-ion",,,"December 07, 2020","2    659.99
Name: 205, dtype: object",90NB0SF2-M00410,,,,Tiger Lake,,,,,1 x 3.5mm Combo Audio Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell - Inspiron 7000 2-in-1 - 13.3"" FHD Touchscreen Laptop - Intel Evo Platform - Core i5 - 8GB RAM - 512GB SSD+32GB Optane - Silver Tablet Notebook",,,,,,,,,,,,,,,,,,,,"13.3""",,,,,,,,,,,,,,,,,,,,,,,,Work / Business,,,,,"January 03, 2022","2    719.00
Name: 206, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 17 Home & Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 1TB SSD, 17.3"" HD+ (1600x900), Intel HD 610, Wifi, Bluetooth, Webcam, 1xUSB 3.2, 1xHDMI, SD Card, Win 10 Home)",,ASUS,VivoBook 17,,Silver,Windows 10 Home,,,16GB,,,,,,Intel Core i7 10th Gen,1.30GHz,3.9 GHz,Quad-core Processor,8MB Cache,"17.3""",No,,,1600 x 900,,,Intel HD Graphics 610,Integrated Card,1 TB,,,,No Optical Drive,802.11ac  Wireless LAN,,Bluetooth 4.2,,1 x HDMI,Standard,Non-backlit,Yes,Yes,Standard,,,,,,"June 17, 2021","2    849.00
Name: 207, dtype: object",,No,DDR4,,,1TB PCIe SSD,,,,1 x Headphone/Microphone Combo Jack,,,,,,SO-DIMM,No,,,,,,,,,,,,,,,No,No,,,,,,
"Lenovo IdeaPad 3 17.3"" Laptop Intel Core i7-1165G7 8GB RAM 256GB SSD Arctic Grey",,Lenovo,,,Gray,Windows 11 Home,,,8GB,,,,,,Intel Core i7 11th Gen,2.80GHz,,Quad-core Processor,,"17.3""",No,,,1920 x 1080,,,Intel Iris Xe Graphics,Integrated Card,256 GB,,,,No,,,Yes,,1 x HDMI,,,Yes,,,Home / Personal,,,,,"November 14, 2021","2    649.99
Name: 208, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Laptop Surface Laptop Go THH-00001 Intel Core i5 10th Gen 1035G1 (1.00GHz) 8 GB LPDDR4X Memory 128 GB SSD Intel UHD Graphics 12.4"" Touchscreen Windows 10 in S mode",,Microsoft,Surface Laptop Go,THH-00001,Platinum,Windows 10 in S mode,Intel Core i5-1035G1 1.00 GHz,"12.4"" Touchscreen",8 GB LPDDR4X,128 GB SSD,Intel UHD Graphics,Shared system memory,"10.95"" x 8.10"" x 0.62""",2.45 lbs.,Intel Core i5 10th Gen,1035G1 (1.00GHz),Up to 3.60 GHz,Quad-core Processor,6 MB,"12.4""",10 point multi-touch,,PixelSense Display,1536 x 1024,,148 PPIAspect ratio: 3:2,Intel UHD Graphics,Integrated Card,128 GB,,,,,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.0,1 x USB-C1 x USB-A,,,,720p HD f2.0 camera (front-facing),,Thin and Light,Content Creation,Consumer,,,Surface Laptop Go39W Power SupplyQuick Start GuideSafety and warranty documents,"December 15, 2021","2    579.00
Name: 209, dtype: object",,,,Security:Firmware TPM Enterprise-grade protection with Windows Hello one touch sign-in One Touch sign in with Fingerprint Reader Power buttonSensors: Ambient light sensor,Ice Lake,,,,,3.5 mm headphone jack,,,,,Dual far-field Studio Mics,,,,Omnisonic Speakers with Dolby Audio,,,,,,,,,1 x Surface Connect port,,,,,,,,,,,
